Year,area,Live_anim,item,feedtype,ft,Intake_DM,Intake,Supply,Loss,Loss_share
1989,Mexico,"Cattle, dairy",Copra Cake,crops,crops,5369.22404600514,5906.73712431809,6563.04124924232,656.304124924232,0.1
2012,Djibouti,"Cattle, non-dairy",Molasses,crops,crops,1.55267795619917,2.06335941023146,2.29262156692384,0.229262156692383,0.0999999999999997
1963,Oceania Other,Ducks,DDGS Barley,crops,crops,0.00968783045665144,0.0105417088755728,0.0117130098617476,0.00117130098617476,0.1
2011,Thailand,"Cattle, dairy",Groundnut Cake,crops,crops,562.26421061549,616.517774797686,685.019749775207,68.5019749775206,0.1
2000,Jordan,Goats,"Pulses, Other and products",crops,crops,29.2688944267698,31.0051847741205,34.4502053045784,3.44502053045784,0.1
2007,Antigua and Barbuda,Pigs,Maize and products,crops,crops,42.1575658410186,48.9066889106944,54.3407654563271,5.4340765456327,0.0999999999999998
1996,Zimbabwe,"Cattle, non-dairy",Cottonseed,crops,crops,1068.15150531299,1161.03424490543,1290.03804989492,129.003804989492,0.1
1993,Australia,"Chickens, broilers",Potatoes and products,crops,crops,1570.77387589469,6919.70870438187,7726.11520929702,806.406504915146,0.104374123743945
2011,"China, mainland",Sheep,"Sweeteners, Other",crops,crops,84.2926516327423,84.7162327967259,94.1291475519177,9.41291475519176,0.1
2007,Switzerland,Turkeys,"Oilcrops, Other",crops,crops,3.85839811030449,4.19429090711604,4.66032323012893,0.466032323012891,0.0999999999999997
1963,United States of America,Goats,Mutton & Goat Meat,animals,animals,0.00155778080415008,0.0041540821444002,0.00461564682711133,4.6156468271113e-4,0.1
2001,Republic of Korea,"Cattle, non-dairy",Rape and Mustard Cake,crops,crops,90575.4136037596,101541.943501973,112824.381668859,11282.4381668858,0.1
2018,Japan,Sheep,Brans,residues,residues,1.02109291973273,1.15052723350167,1.37256529826644,0.222038064764767,0.161768671439678
1988,Brunei Darussalam,Buffalo,Pelagic Fish,animals,animals,57.3884250717783,229.553700287113,255.059666985681,25.5059666985681,0.1
2002,Canada,Horses,"Meat, Other",animals,animals,32.4716550174823,91.0420234135019,103.621240906076,12.5792174925743,0.121396128656443
