item_prod,item_code_prod,item_cbs,item_code_cbs,group,Live_anim,Live_anim_code,Cat_Krausmann,Name_biomass,Name_Eurostat,Name,Cat_Labour,Cat_FAO1,Cat_Origin,Cat_Use,Order,Categ,Farm_class,c3_c4,ann_per_nfx
Plantains and cooking bananas,489,Plantains,2616.0,Primary crops,,,Permanent crops,"Bananas, platains",,Bananas,Berries,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Oranges,490,"Oranges, Mandarines",2611.0,Primary crops,,,Permanent crops,Orange,,Oranges,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
"Tangerines, mandarins, clementines",495,"Oranges, Mandarines",2611.0,Primary crops,,,Permanent crops,Mandarin,,Tangerines,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Lemons and limes,497,"Lemons, Limes and products",2612.0,Primary crops,,,Permanent crops,Lemon,,Lemons_limes,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Pomelos and grapefruits,507,Grapefruit and products,2613.0,Primary crops,,,Permanent crops,Grapefruit,,Citrus_nes,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
"Other citrus fruit, n.e.c.",512,"Citrus, Other",2614.0,Primary crops,,,Permanent crops,Citrus,,Citrus_nes,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Apples,515,Apples and products,2617.0,Primary crops,,,Permanent crops,Apple,,Apples,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Pears,521,"Fruits, Other",2625.0,Primary crops,,,Permanent crops,Pear,,Pears,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Quinces,523,"Fruits, Other",2625.0,Primary crops,,,Permanent crops,Quince,,Quinces,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Apricots,526,"Fruits, Other",2625.0,Primary crops,,,Permanent crops,Apricot,,Apricots,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Sour cherries,530,"Fruits, Other",2625.0,Primary crops,,,Permanent crops,Berries nes,,Berries,Berries,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Cherries,531,"Fruits, Other",2625.0,Primary crops,,,Permanent crops,Cherries,,Cherry,Berries,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Peaches and nectarines,534,"Fruits, Other",2625.0,Primary crops,,,Permanent crops,Peach,,Peaches_nectarines,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Plums and sloes,536,"Fruits, Other",2625.0,Primary crops,,,Permanent crops,Plum,,Plums,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
Other stone fruits,541,"Fruits, Other",2625.0,Primary crops,,,Permanent crops,Fruits,,Fruits_nes,Fruit_tree,Fruit Primary,Vegetables and Fruits,Vegetables and Fruits,1.0,Fruits,Fruits,c3,per
