polity_name,polity_code
Thailand (1907-1909),THA-1907-1909
Thailand (to 1893),THA-1800-1893
Tibet,TIB-1800-2025
Tibet (1913-1914),TIB-1913-1914
Tibet (1914-1950),TIB-1914-1950
Timor-Leste,TLS-1800-2025
Togo,TGO-1800-2025
Tokelau,TKL-1877-2025
Tonga,TON-1800-2025
Transvaal,TRA-1856-1902
Transvaal (to 1910),TRA-1800-1910
Trinidad and Tobago,TTO-1800-2025
Tunisia,TUN-1881-2025
Turkmenistan,TKM-1991-2025
Turks and Caicos Islands,TCA-1800-2025
Tuscany,TUS-1800-1860
Tuvalu,TUV-1800-2025
Two Sicilies,TWO-1800-1860
Türkiye,TUR-1800-2025
Türkiye (1913-1914),TUR-1913-1914
Türkiye (1914-1918),TUR-1914-1918
Türkiye (1918-1920),TUR-1918-1920
Türkiye (to 1912),TUR-1800-1912
US settlement Oceania,USS-1859-2025
USSR,F228-1800-1991
USSR (1905-1914),RUS-1905-1914
USSR (1914-1917),RUS-1914-1917
USSR (1917-1918),RUS-1917-1918
USSR (1918-1920),RUS-1918-1920
USSR (1920-1921),RUS-1920-1921
USSR (1921-1940),RUS-1921-1940
USSR (1940-1945),RUS-1940-1945
USSR (1945-1991),RUS-1945-1991
USSR (1991-2014),RUS-1991-2014
USSR (to 1905),RUS-1800-1905
Uganda,UGA-1800-2025
Ukraine,UKR-1991-2025
Ukraine (1991-2014),UKR-1991-2014
Umm al Qawain,UMM-1892-2025
United Arab Emirates,ARE-1800-2025
United Kingdom,GBR-1800-2025
United Kingdom (to 1921),UNI-1800-1921
United States Minor Outlying Islands,UMI-1800-2025
United States Virgin Islands,VIR-1800-2025
United States miscellaneous Pacific Islands,UNI-1800-1982
United States of America,USA-1800-2025
United States of America (to 1959),UNI-1800-1959
Upper-middle-income economies,F9011-1800-2025
Uruguay,URY-1828-2025
Uzbekistan,UZB-1991-2025
Van Diemen's Land (Tasmania),VAN-1828-1900
Vancouver´s Island,VAN-1849-1866
Vanuatu,VUT-1800-2025
Venezuela,VEN-1821-2025
Victoria,VIC-1853-1900
Vietnam,VNM-1800-2025
Vietnam (to 1893),VIE-1800-1893
